rainfall_intensity_mmh,cumulative_24h_mm,slope_gradient_deg,dfsi_vulnerability_index,corrected_percent_flooded_area,drainage_factor,disrupted_label
14.04,49.83,13.0,0.32,0.12,0.5,0
25.08,139.07,32.8,0.22,1.77,0.2,1
0.64,25.59,48.1,0.387,3.52,0.5,0
26.38,143.3,25.9,0.512,6.1,0.2,1
6.28,30.85,35.7,0.604,7.54,0.8,1
3.03,29.07,22.6,0.556,1.71,1.0,0
0.68,30.2,27.0,0.561,4.57,0.2,0
5.9,58.84,18.5,0.384,0.33,0.5,0
13.45,41.06,42.0,0.161,1.71,0.5,0
10.44,54.3,26.9,0.612,0.66,0.8,0
0.44,19.22,24.6,0.16,2.41,0.2,0
0.64,4.39,37.0,0.448,3.89,0.8,0
4.38,30.34,23.6,0.199,10.76,0.8,0
2.97,39.23,24.9,0.298,7.07,0.8,0
2.25,37.58,19.8,0.594,0.68,0.5,0
2.8,32.06,46.4,0.478,5.47,0.5,1
13.83,67.26,25.1,0.319,3.28,0.5,0
22.51,155.96,50.1,0.426,6.5,1.0,1
4.41,57.72,22.8,0.316,2.46,1.0,0
20.11,91.14,14.4,0.121,0.86,0.5,0
3.3,46.72,42.6,0.227,0.31,1.0,0
5.5,56.21,33.2,0.155,1.18,0.2,0
2.18,47.57,28.0,0.314,0.82,0.8,0
8.7,43.28,31.8,0.569,3.58,0.8,1
32.83,119.07,25.5,0.223,3.93,0.8,1
7.86,49.91,34.5,0.468,2.22,0.8,1
3.76,66.1,34.1,0.611,2.31,0.5,1
8.87,73.52,18.6,0.037,7.64,0.8,0
1.11,35.28,43.3,0.713,0.59,0.8,1
18.66,139.43,30.6,0.401,0.44,1.0,1
5.94,57.78,23.4,0.786,0.28,0.8,0
5.07,48.05,26.9,0.211,2.45,0.5,0
7.49,60.35,41.4,0.189,5.77,0.2,0
8.33,51.33,28.8,0.563,4.21,0.2,0
0.63,42.25,32.8,0.034,0.35,1.0,0
9.75,70.23,45.4,0.658,2.67,0.8,1
2.35,39.27,34.9,0.279,0.16,1.0,0
10.64,102.11,35.5,0.302,0.52,1.0,1
14.7,95.45,25.2,0.416,0.89,1.0,1
13.85,101.99,35.3,0.517,2.13,0.8,1
6.83,52.69,29.1,0.557,1.73,0.5,0
6.24,61.29,43.4,0.491,4.34,0.5,1
1.31,34.77,20.9,0.515,5.44,0.2,0
12.69,58.39,26.2,0.711,9.04,0.8,1
2.69,44.56,17.8,0.319,3.55,0.2,0
5.84,83.88,28.8,0.691,1.14,1.0,1
2.84,12.77,21.7,0.187,2.71,0.5,0
1.22,12.81,40.6,0.742,3.87,0.5,0
8.44,110.41,44.1,0.519,0.77,0.5,1
0.47,27.85,35.3,0.833,2.05,0.5,0
11.74,74.42,19.8,0.285,1.46,1.0,0
3.25,27.51,27.8,0.026,3.94,0.5,0
0.0,38.13,46.5,0.366,0.37,0.8,0
6.08,85.61,21.2,0.292,6.53,0.8,0
0.41,12.39,32.7,0.129,0.38,0.8,0
2.75,29.18,28.1,0.385,6.77,0.2,0
10.43,43.19,51.2,0.575,0.57,0.2,1
0.55,33.12,26.2,0.186,5.66,0.5,0
15.54,85.12,16.6,0.707,7.64,0.2,1
0.03,44.42,36.2,0.599,3.28,0.8,1
2.41,42.74,27.4,0.425,8.94,1.0,1
11.48,89.2,35.0,0.59,1.32,0.5,1
3.23,24.71,19.8,0.515,1.55,0.5,0
0.91,11.71,32.0,0.783,1.79,0.5,0
3.8,57.14,28.6,0.209,12.47,0.5,0
2.68,28.72,32.3,0.638,0.28,1.0,0
15.72,92.9,40.9,0.441,0.03,0.2,1
3.2,27.35,47.2,0.338,0.2,0.8,0
13.22,92.92,37.6,0.347,2.55,0.2,1
18.91,79.13,38.0,0.504,0.95,0.2,1
4.84,24.91,32.1,0.053,2.54,0.2,0
20.46,95.86,19.5,0.16,2.89,0.2,0
4.03,18.93,35.3,0.459,2.52,0.2,0
28.27,102.38,21.7,0.327,2.26,1.0,1
0.8,0.0,25.1,0.411,1.9,0.2,0
9.87,76.78,36.3,0.425,1.48,0.2,0
5.79,56.24,35.0,0.409,1.48,0.8,0
4.17,31.19,27.0,0.767,0.9,0.2,0
8.51,75.3,38.2,0.483,1.92,0.2,1
10.34,57.6,44.9,0.447,3.02,0.2,1
0.04,9.67,32.5,0.216,10.66,0.8,0
1.55,19.74,35.5,0.114,4.91,0.8,0
10.61,89.45,25.8,0.239,9.18,0.8,1
9.33,56.45,47.0,0.627,0.94,0.5,1
28.75,169.73,25.9,0.642,1.09,1.0,1
12.17,60.74,42.3,0.612,1.38,0.8,1
25.6,139.26,44.2,0.315,12.99,0.5,1
10.31,106.21,36.7,0.302,2.85,1.0,1
3.01,15.85,39.4,0.267,6.56,0.5,0
0.95,32.64,30.6,0.55,6.38,0.8,0
12.94,79.43,43.8,0.113,8.23,0.2,1
8.78,12.59,37.3,0.185,0.88,0.8,0
0.42,15.82,27.4,0.706,2.77,0.8,0
3.79,49.82,15.7,0.276,3.41,0.8,0
26.71,113.3,32.4,0.694,2.74,0.8,1
5.9,55.87,40.4,0.612,7.31,0.2,1
4.82,51.58,41.2,0.306,10.53,0.8,1
5.2,30.94,40.2,0.641,0.95,0.2,0
1.99,23.24,24.1,0.137,0.23,0.5,0
3.91,57.18,29.8,0.455,5.06,0.5,0
3.92,52.22,34.0,0.597,2.71,0.5,0
0.46,17.34,35.3,0.477,10.61,0.8,0
12.4,83.7,27.6,0.508,4.7,1.0,1
4.58,32.09,35.9,0.56,1.42,0.2,0
14.68,99.38,33.5,0.377,2.88,0.5,1
16.15,116.29,32.9,0.449,8.69,0.5,1
2.03,28.1,35.2,0.052,7.17,0.5,0
9.1,73.39,33.7,0.529,2.39,0.2,0
5.43,21.26,22.4,0.52,0.95,0.2,0
18.03,70.1,41.7,0.426,0.43,0.5,1
2.07,20.06,24.9,0.597,0.72,0.2,0
9.63,61.13,37.3,0.251,2.22,0.5,0
7.95,74.47,22.8,0.659,4.79,0.2,0
2.97,51.07,35.1,0.541,0.72,0.5,0
1.25,29.12,42.6,0.525,4.36,0.5,0
8.96,77.24,13.0,0.665,1.38,0.8,0
11.4,71.58,47.9,0.722,3.74,0.5,1
3.22,49.62,15.2,0.407,2.53,1.0,0
8.8,47.42,13.2,0.514,7.84,0.5,0
4.27,58.19,41.1,0.323,9.82,0.5,1
10.62,61.57,36.4,0.492,1.85,0.8,1
1.89,0.29,19.9,0.351,1.75,0.2,0
18.78,90.07,44.7,0.28,3.61,0.2,1
2.88,44.94,35.4,0.213,1.32,0.8,0
3.9,32.75,20.1,0.426,3.35,0.5,0
0.51,17.31,41.2,0.293,2.02,0.2,0
1.0,23.23,31.1,0.605,2.46,0.5,0
6.17,17.52,26.0,0.556,5.95,0.5,0
2.65,0.0,39.9,0.288,0.45,0.5,0
15.34,99.04,37.2,0.611,0.61,0.8,1
0.13,8.16,34.2,0.378,0.46,1.0,0
4.05,70.81,42.8,0.498,3.7,0.5,1
3.5,60.69,41.2,0.378,7.68,0.8,1
0.17,44.44,24.5,0.348,8.83,0.8,0
1.13,13.61,41.9,0.623,2.81,0.5,0
4.54,20.72,28.6,0.272,3.97,0.5,0
5.77,37.28,30.0,0.295,4.46,0.8,0
4.4,29.88,47.2,0.349,2.35,1.0,1
6.43,12.17,37.8,0.364,4.01,0.8,0
7.69,53.04,27.2,0.134,1.66,0.8,0
0.08,17.35,34.8,0.496,3.75,0.8,0
5.3,32.28,32.3,0.087,2.61,0.5,0
28.14,119.62,20.4,0.354,0.67,1.0,1
6.22,47.79,42.3,0.522,7.08,0.5,1
9.62,76.08,39.8,0.767,1.17,0.8,1
3.18,20.07,38.3,0.535,0.42,0.2,0
12.64,93.9,32.8,0.589,6.75,0.8,1
12.6,77.64,24.3,0.513,7.6,0.8,1
6.26,45.38,42.1,0.596,0.19,0.5,1
31.71,101.45,28.1,0.327,10.52,0.5,1
1.14,4.42,14.3,0.183,0.28,0.2,0
0.15,46.18,48.1,0.273,0.89,1.0,1
12.5,101.0,41.2,0.473,0.02,0.8,1
13.99,82.38,34.2,0.212,0.06,0.8,1
1.09,22.82,13.4,0.577,0.34,0.2,0
2.62,25.51,24.5,0.725,8.23,0.2,0
0.15,28.1,30.4,0.37,0.22,1.0,0
2.95,9.77,34.3,0.239,5.19,0.5,0
12.61,63.09,36.3,0.389,3.22,1.0,1
6.2,36.94,38.7,0.256,5.89,0.8,0
3.64,29.32,32.7,0.389,6.79,0.8,0
3.95,17.9,35.0,0.632,2.09,0.8,0
0.01,25.05,39.4,0.594,0.63,0.2,0
3.03,35.18,36.7,0.312,0.01,0.5,0
8.84,83.45,45.8,0.338,8.33,0.8,1
31.09,232.61,41.7,0.408,2.99,1.0,1
15.96,84.75,22.5,0.614,2.74,0.8,1
0.2,23.27,45.4,0.228,5.13,0.8,0
19.45,133.93,23.7,0.263,1.51,0.8,1
12.99,97.3,49.3,0.509,19.15,0.5,1
12.88,62.15,36.2,0.227,3.19,1.0,1
5.21,21.24,34.3,0.189,0.28,0.8,0
4.31,41.32,27.3,0.296,0.72,0.8,0
3.07,21.94,21.1,0.638,1.35,0.5,0
0.58,23.89,20.8,0.591,0.64,0.5,0
2.2,22.25,41.4,0.435,9.08,0.5,0
2.41,28.71,30.0,0.463,2.33,1.0,0
5.63,34.16,32.8,0.424,2.06,1.0,0
11.7,72.12,44.4,0.621,5.33,0.2,1
5.46,27.48,25.4,0.61,6.61,0.5,0
0.51,23.86,37.9,0.075,1.16,0.5,0
26.9,176.3,30.8,0.311,0.18,0.5,1
24.31,112.0,24.0,0.438,0.58,0.2,1
13.07,69.65,40.9,0.659,7.48,0.2,1
40.35,225.28,35.6,0.562,2.05,0.5,1
6.68,28.73,19.4,0.574,0.96,0.8,0
27.97,151.19,32.4,0.445,16.45,1.0,1
0.67,7.34,40.8,0.418,0.94,0.8,0
3.87,46.54,17.9,0.522,6.18,0.5,0
2.17,42.67,29.6,0.452,25.0,0.5,1
1.85,12.59,39.2,0.688,0.58,0.2,0
1.29,39.08,41.1,0.133,4.33,0.5,0
8.28,70.84,38.3,0.307,6.83,0.8,1
12.92,112.67,26.8,0.365,9.63,0.8,1
7.34,45.94,31.6,0.437,1.33,0.8,0
1.35,22.3,37.3,0.554,0.31,0.2,0
14.17,89.27,21.9,0.51,0.15,0.5,0
8.59,38.67,33.6,0.612,1.68,0.8,1
4.18,30.45,36.7,0.583,0.63,0.2,0
9.53,61.64,40.8,0.299,1.72,0.5,0
2.56,31.44,20.2,0.584,8.66,0.8,0
3.6,14.04,27.5,0.611,1.01,0.5,0
21.21,70.82,32.4,0.401,3.32,0.2,1
2.92,39.94,36.2,0.034,14.38,0.8,0
5.4,45.04,36.9,0.536,1.82,0.5,0
18.77,70.25,25.3,0.225,0.92,1.0,0
10.46,72.17,13.6,0.324,11.14,0.5,0
0.55,18.52,36.0,0.186,3.3,1.0,0
1.35,20.83,43.3,0.295,0.21,1.0,0
0.07,0.0,39.0,0.406,0.53,0.8,0
8.47,86.02,34.2,0.392,3.3,0.2,0
5.05,41.78,47.7,0.273,2.51,0.8,1
1.23,3.16,30.0,0.264,2.26,0.2,0
26.93,127.79,32.0,0.272,3.01,0.8,1
6.41,50.69,13.4,0.469,1.72,0.8,0
2.35,48.87,45.3,0.296,6.82,0.5,1
5.9,49.75,33.3,0.329,11.1,1.0,1
9.68,48.05,29.0,0.475,1.44,0.2,0
0.67,12.12,16.4,0.387,4.31,0.8,0
2.73,41.6,28.3,0.415,1.81,0.8,0
13.98,89.65,11.8,0.412,0.65,0.2,0
5.23,37.81,27.3,0.332,0.89,1.0,0
6.72,47.18,45.6,0.473,1.05,0.5,1
4.82,21.56,21.9,0.256,2.58,1.0,0
0.38,45.85,32.5,0.294,1.16,0.5,0
1.54,55.76,23.1,0.211,2.75,1.0,0
5.01,36.85,38.5,0.293,0.0,0.5,0
1.99,10.29,32.8,0.243,1.42,0.2,0
0.44,27.28,23.7,0.621,1.88,0.5,0
15.77,79.63,41.4,0.34,3.7,0.5,1
33.77,176.65,38.5,0.375,0.18,1.0,1
13.39,71.66,45.6,0.361,9.74,0.5,1
16.34,95.09,10.8,0.541,1.41,0.8,0
2.35,31.37,30.6,0.723,2.6,0.8,0
27.49,80.16,51.6,0.437,4.51,0.5,1
1.86,29.4,39.4,0.211,1.75,0.2,0
25.71,141.41,40.1,0.666,3.78,0.8,1
44.73,261.94,34.2,0.689,2.58,1.0,1
10.57,58.2,36.5,0.466,2.44,1.0,1
33.75,153.03,39.2,0.501,0.77,0.5,1
7.16,63.73,19.2,0.619,1.89,0.2,0
2.55,42.99,35.9,0.265,0.88,0.2,0
4.88,42.43,39.5,0.21,5.95,0.8,0
7.65,60.16,16.1,0.437,0.54,1.0,0
0.65,43.0,26.6,0.203,0.17,0.2,0
8.28,44.54,27.3,0.186,1.9,0.5,0
33.77,154.56,40.9,0.56,0.06,0.8,1
1.79,22.34,38.4,0.279,1.68,0.8,0
13.37,94.25,35.0,0.556,5.76,0.5,1
20.27,88.57,39.2,0.07,6.1,0.2,1
24.46,148.65,30.5,0.482,1.81,0.2,1
27.39,157.11,41.7,0.746,3.68,0.2,1
6.26,21.15,24.7,0.756,3.68,0.5,0
32.18,176.83,36.2,0.326,2.16,0.8,1
12.04,56.62,24.9,0.678,2.95,0.8,1
1.5,20.91,16.1,0.383,3.71,0.5,0
5.51,46.71,26.2,0.53,2.21,0.2,0
10.77,78.24,31.3,0.43,11.06,0.5,1
2.42,0.0,40.5,0.312,7.6,0.5,0
8.7,63.68,31.7,0.76,4.6,1.0,1
9.34,61.91,22.9,0.469,3.16,1.0,0
1.51,23.58,49.5,0.381,4.47,0.2,0
7.08,77.09,25.8,0.831,6.73,0.2,1
12.55,83.56,48.5,0.076,0.47,0.5,1
5.87,36.45,44.7,0.538,0.45,0.5,0
0.1,29.12,32.4,0.451,1.81,1.0,0
0.08,12.05,19.2,0.56,10.93,1.0,0
3.75,32.56,36.0,0.724,0.56,0.8,1
22.15,67.75,40.6,0.597,2.73,1.0,1
2.21,5.15,30.3,0.596,0.97,0.8,0
8.55,64.13,24.9,0.394,0.63,0.2,0
2.13,30.52,39.1,0.448,7.94,1.0,1
3.3,24.77,32.5,0.431,4.49,0.8,0
16.02,108.21,23.5,0.101,3.93,0.8,1
11.09,67.69,45.5,0.248,3.22,0.5,1
0.85,12.83,45.4,0.28,4.83,0.8,0
4.76,50.23,28.4,0.268,5.46,0.2,0
0.25,0.0,17.7,0.652,1.76,0.8,0
5.57,57.42,34.4,0.45,1.9,0.5,0
9.23,62.03,27.1,0.721,0.83,0.2,0
1.07,40.17,17.8,0.259,7.55,0.5,0
2.9,47.77,42.5,0.421,0.55,1.0,1
4.31,49.3,50.7,0.465,3.02,0.2,1
21.42,134.02,28.0,0.273,0.12,0.8,1
42.49,130.78,37.4,0.164,2.7,0.8,1
0.39,0.63,17.8,0.755,7.44,0.5,0
12.17,96.88,28.5,0.239,9.95,0.5,1
3.95,38.56,20.0,0.328,7.05,0.8,0
4.24,25.78,17.2,0.158,5.48,0.2,0
11.93,59.86,33.4,0.459,0.66,0.5,0
21.3,157.02,39.1,0.5,3.46,1.0,1
25.62,128.01,30.5,0.234,0.49,0.8,1
7.32,46.48,32.0,0.387,0.32,0.5,0
3.76,46.85,25.8,0.253,0.04,0.8,0
13.17,61.37,37.1,0.469,0.97,0.5,1
2.46,37.52,28.3,0.431,5.16,0.5,0
7.06,56.81,17.9,0.665,2.49,0.2,0
3.77,40.99,22.4,0.498,0.69,1.0,0
9.09,78.97,20.9,0.294,1.08,0.8,0
2.34,32.18,30.1,0.385,1.18,0.5,0
1.81,13.72,17.8,0.245,6.57,0.8,0
21.28,138.84,39.3,0.169,1.24,0.2,1
0.91,27.32,43.2,0.316,0.9,0.2,0
5.99,64.55,25.1,0.563,2.1,0.8,0
2.12,29.2,31.2,0.619,8.19,1.0,1
0.34,33.04,31.9,0.317,5.22,0.2,0
0.31,20.82,48.5,0.599,4.2,0.5,1
1.64,35.53,17.8,0.444,9.56,1.0,0
17.13,64.41,35.3,0.21,6.06,0.8,1
2.82,28.5,27.9,0.24,1.56,0.5,0
25.54,170.21,31.5,0.603,0.22,0.2,1
7.41,47.44,24.2,0.294,0.39,0.5,0
4.88,70.21,22.2,0.756,1.82,0.8,1
7.38,56.0,25.0,0.525,1.67,0.2,0
6.18,43.24,18.1,0.765,7.03,1.0,1
12.09,76.34,26.0,0.432,15.23,0.5,1
2.82,22.24,35.9,0.378,12.01,1.0,1
3.7,50.99,34.9,0.502,4.07,0.5,0
19.08,141.28,32.7,0.573,1.97,0.5,1
24.88,127.75,10.6,0.413,1.76,0.8,1
18.96,73.18,20.8,0.719,0.09,0.5,1
4.62,26.78,40.5,0.382,7.73,0.2,0
12.88,76.51,25.8,0.36,8.83,0.2,0
5.5,47.44,43.4,0.266,0.87,0.5,0
5.85,63.02,41.7,0.453,1.65,1.0,1
1.95,58.77,22.0,0.433,3.67,1.0,0
7.6,58.58,42.8,0.223,1.33,1.0,1
1.75,28.28,34.3,0.804,1.66,1.0,1
3.42,29.07,34.4,0.275,2.35,0.8,0
16.42,107.82,40.9,0.526,1.72,0.2,1
1.97,59.0,29.3,0.527,0.44,0.5,0
0.63,49.41,37.1,0.406,4.94,1.0,1
0.61,39.99,35.3,0.646,0.66,0.2,0
24.03,133.3,38.1,0.366,7.39,0.8,1
6.01,61.8,35.1,0.346,1.49,0.8,0
4.48,37.55,18.6,0.384,1.12,0.2,0
14.16,60.87,26.4,0.685,4.71,1.0,1
15.36,74.4,44.9,0.154,5.63,0.2,1
3.43,39.85,24.4,0.53,1.42,1.0,0
10.05,24.15,30.9,0.767,8.82,0.8,1
12.53,78.37,28.2,0.628,4.15,0.2,1
9.04,56.93,18.9,0.672,0.52,0.8,0
1.4,40.44,22.9,0.158,0.59,0.5,0
17.74,58.95,26.3,0.642,0.97,0.8,1
6.58,64.12,30.7,0.4,5.8,0.5,0
2.82,19.16,41.7,0.35,10.42,0.5,0
4.71,57.82,31.8,0.52,5.64,0.5,1
0.33,0.0,34.9,0.375,0.09,0.8,0
1.16,33.05,29.8,0.379,0.61,0.8,0
12.33,44.35,41.6,0.448,2.87,0.5,1
0.0,12.36,35.2,0.369,3.27,0.2,0
4.58,41.2,19.2,0.64,6.93,0.5,0
6.28,42.13,31.0,0.47,1.7,0.8,0
0.48,25.18,40.0,0.504,7.51,0.2,0
30.73,177.04,37.0,0.622,0.66,1.0,1
2.18,20.49,43.1,0.169,0.82,1.0,0
3.08,26.54,24.5,0.589,1.28,0.5,0
3.08,29.93,47.6,0.61,1.07,1.0,1
2.23,33.49,26.2,0.782,5.81,0.8,1
0.01,19.08,16.8,0.511,1.58,0.8,0
11.11,72.3,31.4,0.22,0.45,0.8,0
28.96,154.12,20.1,0.13,2.77,0.8,1
2.16,29.71,35.6,0.335,0.51,0.8,0
9.25,47.45,42.9,0.384,6.59,0.2,1
11.51,33.81,43.9,0.298,1.54,1.0,1
16.04,105.52,33.8,0.501,2.59,0.2,1
4.67,56.34,32.2,0.607,8.18,0.5,1
3.07,43.09,49.8,0.181,1.95,1.0,1
3.34,24.39,33.2,0.605,0.38,0.5,0
10.6,89.46,44.2,0.503,7.62,1.0,1
14.43,65.46,43.6,0.429,0.56,0.2,1
1.7,36.08,26.4,0.621,5.3,0.2,0
3.94,37.72,13.6,0.687,2.21,0.5,0
19.74,124.2,30.1,0.377,5.59,0.2,1
13.97,87.93,41.2,0.549,0.41,0.2,1
35.62,103.29,40.3,0.781,5.16,0.8,1
11.93,41.13,33.8,0.362,3.56,0.5,0
4.25,49.34,22.0,0.592,0.97,0.8,0
7.59,46.6,20.0,0.108,2.16,1.0,0
9.2,67.64,45.8,0.47,7.44,1.0,1
0.69,26.91,29.7,0.205,2.94,0.8,0
6.68,25.69,34.8,0.124,0.54,0.5,0
10.5,69.42,43.1,0.524,5.36,0.5,1
1.56,40.33,41.5,0.254,0.5,0.5,0
12.89,45.46,32.9,0.194,1.65,1.0,0
7.45,63.08,31.2,0.327,0.42,0.8,0
25.85,119.68,37.1,0.382,1.92,0.8,1
0.37,14.23,28.0,0.541,7.38,0.8,0
2.62,30.35,34.3,0.391,5.72,0.5,0
7.82,60.35,14.6,0.637,9.15,0.5,0
2.99,8.92,39.9,0.177,2.95,0.5,0
10.65,57.29,50.7,0.583,4.05,0.5,1
12.1,73.9,45.8,0.248,3.8,1.0,1
0.92,0.0,28.2,0.269,0.19,0.5,0
6.13,61.22,32.2,0.515,3.54,1.0,1
6.04,18.21,24.8,0.31,2.42,0.5,0
3.92,39.31,26.7,0.696,1.7,0.2,0
22.97,151.68,30.6,0.669,0.66,1.0,1
14.94,103.73,37.4,0.302,0.51,0.2,1
10.16,68.89,14.1,0.333,2.69,0.5,0
10.65,60.03,29.1,0.491,0.7,0.8,0
5.26,37.36,32.7,0.416,5.26,0.5,0
21.58,161.29,24.1,0.636,5.63,0.2,1
10.08,21.96,18.5,0.122,1.29,0.8,0
11.1,42.05,32.3,0.619,3.65,1.0,1
16.82,112.07,34.6,0.319,0.24,0.8,1
2.72,30.27,34.6,0.304,9.04,0.8,0
13.99,79.33,28.2,0.613,3.74,0.5,1
1.85,34.23,24.8,0.113,1.67,0.5,0
3.6,29.03,24.3,0.57,3.05,0.5,0
3.48,24.94,16.1,0.61,1.63,0.8,0
32.65,167.25,23.1,0.482,0.32,0.5,1
16.5,119.35,39.7,0.375,1.16,1.0,1
10.27,57.52,11.7,0.417,0.04,0.2,0
11.04,66.99,16.4,0.439,5.63,1.0,0
7.02,61.03,20.8,0.616,12.92,0.5,1
24.98,169.07,29.7,0.371,1.39,0.2,1
5.83,45.54,27.6,0.607,4.8,0.2,0
4.07,30.55,22.8,0.355,2.82,0.8,0
1.51,51.79,20.1,0.353,0.08,0.5,0
13.11,87.54,44.8,0.441,13.94,0.2,1
11.27,95.37,43.4,0.558,12.48,0.5,1
4.12,34.77,38.2,0.574,8.38,0.2,0
0.22,17.4,25.3,0.278,1.44,0.5,0
15.52,91.4,27.3,0.731,0.55,0.2,1
0.1,24.82,35.2,0.363,1.44,0.5,0
10.34,60.82,26.4,0.473,5.07,0.5,0
29.88,145.01,32.1,0.576,2.47,0.5,1
4.89,46.14,34.9,0.17,9.46,0.5,0
2.28,19.76,31.9,0.437,0.07,0.5,0
10.37,39.58,29.5,0.52,12.38,1.0,1
14.44,72.58,27.9,0.288,12.05,0.5,1
6.72,53.47,38.3,0.538,5.83,0.5,1
29.0,93.22,37.2,0.552,2.69,0.5,1
0.45,18.05,36.0,0.283,1.69,0.8,0
5.97,58.61,28.6,0.642,11.83,1.0,1
10.77,57.97,38.3,0.405,4.44,0.2,0
16.87,107.02,46.0,0.579,5.49,1.0,1
1.68,19.79,35.8,0.216,6.28,0.2,0
13.68,48.6,29.4,0.421,7.48,0.8,1
6.84,85.06,38.9,0.477,2.65,1.0,1
4.29,11.11,33.9,0.764,11.91,0.8,1
1.2,38.65,41.9,0.082,1.33,0.5,0
17.04,70.5,36.5,0.536,5.94,0.2,1
1.45,18.12,38.1,0.396,0.52,0.8,0
3.15,15.11,35.3,0.264,1.75,0.2,0
2.91,42.21,19.2,0.317,2.23,0.5,0
17.43,112.11,31.2,0.502,3.07,0.8,1
9.49,63.77,17.2,0.609,0.3,0.8,0
13.54,102.52,30.3,0.199,1.91,0.5,1
2.45,28.83,36.6,0.356,1.42,0.5,0
8.33,24.34,29.7,0.32,2.36,0.2,0
7.21,32.93,11.2,0.183,4.97,0.5,0
15.2,124.47,28.5,0.729,0.62,0.5,1
20.11,86.48,17.9,0.503,4.36,1.0,1
0.1,4.17,38.4,0.381,1.68,0.5,0
9.53,50.98,38.5,0.377,1.39,0.8,1
0.45,11.11,39.2,0.36,1.96,0.5,0
6.77,58.82,15.3,0.516,7.36,0.5,0
2.88,12.49,15.5,0.706,0.26,0.2,0
3.11,25.16,43.0,0.35,3.25,0.5,0
3.7,30.5,20.7,0.792,5.04,0.5,0
8.25,73.25,35.4,0.266,3.72,0.5,0
3.46,48.06,38.9,0.464,2.91,0.5,0
11.21,47.32,30.3,0.448,3.7,0.5,0
4.41,63.94,32.5,0.468,1.66,0.2,0
0.6,19.83,24.5,0.45,2.1,0.5,0
13.02,83.48,44.0,0.568,1.87,1.0,1
2.86,56.57,26.7,0.397,3.3,0.5,0
4.82,50.29,24.2,0.708,8.21,0.5,1
9.83,56.76,32.0,0.429,2.43,0.2,0
3.44,33.31,23.3,0.534,1.97,0.5,0
0.5,13.33,35.8,0.354,4.3,0.8,0
3.98,33.89,31.8,0.401,0.84,0.5,0
24.57,131.62,21.7,0.36,8.47,0.8,1
8.73,31.48,17.9,0.17,5.37,0.5,0
9.46,64.43,21.2,0.254,1.64,0.2,0
8.5,40.57,21.2,0.191,0.89,0.5,0
1.89,22.02,27.0,0.404,3.88,0.2,0
4.61,55.7,40.2,0.223,12.16,0.2,1
11.82,74.22,17.3,0.555,7.89,0.8,1
0.91,20.98,20.9,0.416,0.31,0.5,0
2.77,19.0,26.7,0.474,1.24,1.0,0
2.75,36.75,32.6,0.517,4.42,0.8,0
4.81,62.99,37.9,0.72,2.97,0.5,1
33.41,151.56,43.9,0.418,0.82,0.5,1
0.59,51.78,29.5,0.3,7.64,1.0,0
6.22,70.26,19.9,0.151,12.82,0.8,0
1.68,46.82,24.0,0.566,1.87,1.0,0
30.0,172.52,26.3,0.27,3.42,0.5,1
1.02,43.49,38.6,0.456,1.66,0.2,0
4.39,25.47,35.8,0.461,0.88,0.8,0
11.38,44.34,23.9,0.652,8.68,1.0,1
10.36,82.05,40.4,0.612,2.08,0.8,1
4.67,37.83,41.1,0.41,0.11,0.5,0
3.62,37.85,42.1,0.799,1.48,0.2,1
4.31,1.02,25.9,0.488,1.92,0.8,0
2.61,23.51,21.1,0.359,0.71,0.5,0
1.95,7.66,19.8,0.202,5.05,0.5,0
5.61,48.9,29.2,0.737,0.74,0.8,1
2.66,32.18,29.9,0.232,7.67,0.5,0
2.88,17.99,41.5,0.298,3.55,0.5,0
9.09,97.47,25.7,0.085,5.97,0.2,0
29.4,204.9,34.3,0.678,4.34,0.8,1
7.87,66.37,38.7,0.311,5.47,0.2,0
0.68,55.76,25.8,0.254,2.05,0.2,0
0.67,35.06,25.7,0.219,3.42,0.2,0
25.71,114.36,35.3,0.393,1.83,0.8,1
3.0,15.95,36.8,0.33,4.84,1.0,0
0.82,36.58,46.2,0.187,1.41,0.2,0
7.77,25.11,40.8,0.343,1.55,0.2,0
8.31,66.37,39.8,0.336,6.68,0.5,1
8.89,12.96,35.9,0.243,0.75,0.5,0
2.64,30.05,20.5,0.328,1.93,0.8,0
0.13,33.3,39.3,0.204,3.24,0.2,0
28.5,176.11,44.6,0.338,0.54,0.5,1
2.46,42.52,29.0,0.323,3.61,0.5,0
9.58,103.0,27.0,0.522,1.78,0.2,1
10.42,45.91,32.0,0.398,0.92,0.5,0
8.0,108.48,46.0,0.463,0.22,1.0,1
3.19,37.43,16.9,0.51,3.15,0.2,0
2.69,47.15,36.4,0.291,13.5,1.0,1
7.74,40.14,39.5,0.282,5.64,0.8,1
17.09,133.79,38.7,0.473,1.92,0.5,1
24.93,112.47,32.9,0.562,0.8,0.2,1
0.95,44.61,43.8,0.08,5.28,0.5,0
1.43,26.37,21.1,0.388,7.57,0.5,0
24.61,136.24,25.1,0.273,1.61,0.2,1
11.34,85.21,26.8,0.51,0.24,0.2,0
18.24,73.15,12.8,0.361,3.67,0.2,0
1.92,23.62,28.5,0.149,0.37,0.8,0
7.53,45.11,22.2,0.069,0.72,0.8,0
10.27,111.53,36.8,0.499,0.02,0.8,1
9.69,75.68,29.6,0.794,1.15,0.8,1
4.46,43.48,36.2,0.69,5.45,0.5,1
